Unnamed: 0,Top-Left,Bottom-Right,Id,Bottom,Top,Left,Right,Bottom_Box,Right_Box,Top_Box,Left_Box
0,"[290, 85]","[435, 147]",0,"[362.5, 147]","[362.5, 85]","[290, 116.0]","[435, 116.0]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
1,"[563, 82]","[730, 147]",1,"[646.5, 147]","[646.5, 82]","[563, 114.5]","[730, 114.5]","[-1, 0]","[2, 2]","[-1, 0]","[-1, 0]"
2,"[744, 92]","[940, 140]",2,"[842.0, 140]","[842.0, 92]","[744, 116.0]","[940, 116.0]","[-1, 0]","[-1, 0]","[-1, 0]","[1, 1]"
3,"[1163, 92]","[1184, 147]",3,"[1173.5, 147]","[1173.5, 92]","[1163, 119.5]","[1184, 119.5]","[-1, 0]","[4, 4]","[-1, 0]","[-1, 0]"
4,"[1218, 79]","[1344, 157]",4,"[1281.0, 157]","[1281.0, 79]","[1218, 118.0]","[1344, 118.0]","[-1, 0]","[5, 5]","[-1, 0]","[3, 3]"
5,"[1385, 92]","[1511, 144]",5,"[1448.0, 144]","[1448.0, 92]","[1385, 118.0]","[1511, 118.0]","[-1, 0]","[-1, 0]","[-1, 0]","[4, 4]"
6,"[1646, 79]","[1813, 154]",6,"[1729.5, 154]","[1729.5, 79]","[1646, 116.5]","[1813, 116.5]","[-1, 0]","[7, 7]","[-1, 0]","[-1, 0]"
7,"[1834, 79]","[1897, 140]",7,"[1865.5, 140]","[1865.5, 79]","[1834, 109.5]","[1897, 109.5]","[-1, 0]","[8, 8]","[-1, 0]","[6, 6]"
8,"[1907, 82]","[1994, 137]",8,"[1950.5, 137]","[1950.5, 82]","[1907, 109.5]","[1994, 109.5]","[-1, 0]","[-1, 0]","[-1, 0]","[7, 7]"
9,"[2127, 89]","[2195, 144]",9,"[2161.0, 144]","[2161.0, 89]","[2127, 116.5]","[2195, 116.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
10,"[406, 208]","[488, 280]",10,"[447.0, 280]","[447.0, 208]","[406, 244.0]","[488, 244.0]","[13, 13]","[11, 11]","[-1, 0]","[-1, 0]"
11,"[508, 212]","[679, 287]",11,"[593.5, 287]","[593.5, 212]","[508, 249.5]","[679, 249.5]","[14, 14]","[-1, 0]","[-1, 0]","[10, 10]"
12,"[305, 287]","[348, 352]",12,"[326.5, 352]","[326.5, 287]","[305, 319.5]","[348, 319.5]","[-1, 0]","[13, 13]","[-1, 0]","[-1, 0]"
13,"[384, 287]","[537, 352]",13,"[460.5, 352]","[460.5, 287]","[384, 319.5]","[537, 319.5]","[-1, 0]","[14, 14]","[10, 10]","[12, 12]"
14,"[573, 294]","[655, 366]",14,"[614.0, 366]","[614.0, 294]","[573, 330.0]","[655, 330.0]","[-1, 0]","[15, 15]","[11, 11]","[13, 13]"
