Unnamed: 0,Top-Left,Bottom-Right,Id,Bottom,Top,Left,Right,Bottom_Box,Right_Box,Top_Box,Left_Box
0,"[225, 109]","[379, 150]",0,"[302.0, 150]","[302.0, 109]","[225, 129.5]","[379, 129.5]","[-1, 0]","[1, 1]","[-1, 0]","[-1, 0]"
1,"[396, 109]","[655, 157]",1,"[525.5, 157]","[525.5, 109]","[396, 133.0]","[655, 133.0]","[-1, 0]","[2, 2]","[-1, 0]","[0, 0]"
2,"[665, 109]","[902, 161]",2,"[783.5, 161]","[783.5, 109]","[665, 135.0]","[902, 135.0]","[-1, 0]","[-1, 0]","[-1, 0]","[1, 1]"
3,"[952, 103]","[1034, 157]",3,"[993.0, 157]","[993.0, 103]","[952, 130.0]","[1034, 130.0]","[34, 34]","[4, 4]","[-1, 0]","[-1, 0]"
4,"[1042, 106]","[1105, 150]",4,"[1073.5, 150]","[1073.5, 106]","[1042, 128.0]","[1105, 128.0]","[-1, 0]","[5, 5]","[-1, 0]","[3, 3]"
5,"[1112, 103]","[1223, 154]",5,"[1167.5, 154]","[1167.5, 103]","[1112, 128.5]","[1223, 128.5]","[35, 35]","[6, 6]","[-1, 0]","[4, 4]"
6,"[1225, 103]","[1308, 164]",6,"[1266.5, 164]","[1266.5, 103]","[1225, 133.5]","[1308, 133.5]","[36, 36]","[-1, 0]","[-1, 0]","[5, 5]"
7,"[1368, 116]","[1399, 147]",7,"[1383.5, 147]","[1383.5, 116]","[1368, 131.5]","[1399, 131.5]","[37, 37]","[-1, 0]","[-1, 0]","[-1, 0]"
8,"[256, 260]","[433, 311]",8,"[344.5, 311]","[344.5, 260]","[256, 285.5]","[433, 285.5]","[-1, 0]","[9, 9]","[-1, 0]","[-1, 0]"
9,"[445, 260]","[524, 314]",9,"[484.5, 314]","[484.5, 260]","[445, 287.0]","[524, 287.0]","[46, 46]","[-1, 0]","[-1, 0]","[8, 8]"
10,"[558, 260]","[725, 311]",10,"[641.5, 311]","[641.5, 260]","[558, 285.5]","[725, 285.5]","[47, 47]","[11, 11]","[101, 101]","[-1, 0]"
11,"[732, 260]","[909, 311]",11,"[820.5, 311]","[820.5, 260]","[732, 285.5]","[909, 285.5]","[-1, 0]","[-1, 0]","[-1, 0]","[10, 10]"
12,"[952, 250]","[1071, 314]",12,"[1011.5, 314]","[1011.5, 250]","[952, 282.0]","[1071, 282.0]","[50, 50]","[13, 13]","[103, 103]","[-1, 0]"
13,"[1068, 256]","[1155, 311]",13,"[1111.5, 311]","[1111.5, 256]","[1068, 283.5]","[1155, 283.5]","[-1, 0]","[14, 14]","[104, 104]","[12, 12]"
14,"[1165, 263]","[1329, 314]",14,"[1247.0, 314]","[1247.0, 263]","[1165, 288.5]","[1329, 288.5]","[-1, 0]","[-1, 0]","[105, 105]","[13, 13]"
15,"[1564, 103]","[1644, 157]",15,"[1604.0, 157]","[1604.0, 103]","[1564, 130.0]","[1644, 130.0]","[39, 39]","[-1, 0]","[-1, 0]","[-1, 0]"
16,"[1689, 99]","[1861, 161]",16,"[1775.0, 161]","[1775.0, 99]","[1689, 130.0]","[1861, 130.0]","[-1, 0]","[17, 17]","[-1, 0]","[-1, 0]"
17,"[1864, 106]","[1912, 154]",17,"[1888.0, 154]","[1888.0, 106]","[1864, 130.0]","[1912, 130.0]","[-1, 0]","[-1, 0]","[-1, 0]","[16, 16]"
18,"[1965, 106]","[2105, 147]",18,"[2035.0, 147]","[2035.0, 106]","[1965, 126.5]","[2105, 126.5]","[-1, 0]","[19, 19]","[-1, 0]","[-1, 0]"
19,"[2112, 106]","[2154, 150]",19,"[2133.0, 150]","[2133.0, 106]","[2112, 128.0]","[2154, 128.0]","[42, 42]","[20, 20]","[-1, 0]","[18, 18]"
20,"[2161, 106]","[2221, 150]",20,"[2191.0, 150]","[2191.0, 106]","[2161, 128.0]","[2221, 128.0]","[-1, 0]","[21, 21]","[-1, 0]","[19, 19]"
21,"[2226, 106]","[2381, 157]",21,"[2303.5, 157]","[2303.5, 106]","[2226, 131.5]","[2381, 131.5]","[-1, 0]","[-1, 0]","[-1, 0]","[20, 20]"
22,"[1462, 263]","[1501, 311]",22,"[1481.5, 311]","[1481.5, 263]","[1462, 287.0]","[1501, 287.0]","[-1, 0]","[23, 23]","[-1, 0]","[-1, 0]"
23,"[1511, 260]","[1648, 311]",23,"[1579.5, 311]","[1579.5, 260]","[1511, 285.5]","[1648, 285.5]","[-1, 0]","[-1, 0]","[-1, 0]","[22, 22]"
24,"[1694, 256]","[1760, 314]",24,"[1727.0, 314]","[1727.0, 256]","[1694, 285.0]","[1760, 285.0]","[-1, 0]","[25, 25]","[108, 108]","[-1, 0]"
25,"[1762, 246]","[1808, 318]",25,"[1785.0, 318]","[1785.0, 246]","[1762, 282.0]","[1808, 282.0]","[56, 56]","[26, 26]","[-1, 0]","[24, 24]"
26,"[1813, 263]","[1984, 314]",26,"[1898.5, 314]","[1898.5, 263]","[1813, 288.5]","[1984, 288.5]","[57, 57]","[27, 27]","[110, 110]","[25, 25]"
27,"[1996, 273]","[2016, 301]",27,"[2006.0, 301]","[2006.0, 273]","[1996, 287.0]","[2016, 287.0]","[58, 58]","[28, 28]","[-1, 0]","[26, 26]"
28,"[2023, 256]","[2122, 311]",28,"[2072.5, 311]","[2072.5, 256]","[2023, 283.5]","[2122, 283.5]","[-1, 0]","[29, 29]","[111, 111]","[27, 27]"
29,"[2127, 260]","[2236, 311]",29,"[2181.5, 311]","[2181.5, 260]","[2127, 285.5]","[2236, 285.5]","[-1, 0]","[30, 30]","[-1, 0]","[28, 28]"
30,"[2243, 250]","[2386, 311]",30,"[2314.5, 311]","[2314.5, 250]","[2243, 280.5]","[2386, 280.5]","[62, 62]","[-1, 0]","[114, 114]","[29, 29]"
31,"[213, 161]","[611, 212]",31,"[412.0, 212]","[412.0, 161]","[213, 186.5]","[611, 186.5]","[99, 99]","[32, 32]","[-1, 0]","[-1, 0]"
32,"[611, 157]","[766, 208]",32,"[688.5, 208]","[688.5, 157]","[611, 182.5]","[766, 182.5]","[-1, 0]","[33, 33]","[-1, 0]","[31, 31]"
33,"[761, 157]","[906, 222]",33,"[833.5, 222]","[833.5, 157]","[761, 189.5]","[906, 189.5]","[-1, 0]","[-1, 0]","[-1, 0]","[32, 32]"
34,"[952, 157]","[1083, 208]",34,"[1017.5, 208]","[1017.5, 157]","[952, 182.5]","[1083, 182.5]","[103, 103]","[35, 35]","[3, 3]","[-1, 0]"
35,"[1088, 157]","[1201, 212]",35,"[1144.5, 212]","[1144.5, 157]","[1088, 184.5]","[1201, 184.5]","[104, 104]","[36, 36]","[5, 5]","[34, 34]"
36,"[1211, 161]","[1264, 205]",36,"[1237.5, 205]","[1237.5, 161]","[1211, 183.0]","[1264, 183.0]","[105, 105]","[37, 37]","[6, 6]","[35, 35]"
37,"[1269, 154]","[1436, 215]",37,"[1352.5, 215]","[1352.5, 154]","[1269, 184.5]","[1436, 184.5]","[106, 106]","[38, 38]","[7, 7]","[36, 36]"
38,"[1443, 157]","[1573, 208]",38,"[1508.0, 208]","[1508.0, 157]","[1443, 182.5]","[1573, 182.5]","[107, 107]","[39, 39]","[-1, 0]","[37, 37]"
39,"[1583, 157]","[1641, 202]",39,"[1612.0, 202]","[1612.0, 157]","[1583, 179.5]","[1641, 179.5]","[-1, 0]","[-1, 0]","[15, 15]","[38, 38]"
40,"[1694, 154]","[1769, 208]",40,"[1731.5, 208]","[1731.5, 154]","[1694, 181.0]","[1769, 181.0]","[108, 108]","[41, 41]","[-1, 0]","[-1, 0]"
41,"[1779, 164]","[1926, 205]",41,"[1852.5, 205]","[1852.5, 164]","[1779, 184.5]","[1926, 184.5]","[109, 109]","[42, 42]","[-1, 0]","[40, 40]"
42,"[1938, 157]","[2320, 208]",42,"[2129.0, 208]","[2129.0, 157]","[1938, 182.5]","[2320, 182.5]","[112, 112]","[43, 43]","[19, 19]","[41, 41]"
43,"[2332, 157]","[2381, 205]",43,"[2356.5, 205]","[2356.5, 157]","[2332, 181.0]","[2381, 181.0]","[114, 114]","[-1, 0]","[-1, 0]","[42, 42]"
44,"[205, 304]","[341, 369]",44,"[273.0, 369]","[273.0, 304]","[205, 336.5]","[341, 336.5]","[63, 63]","[45, 45]","[-1, 0]","[-1, 0]"
45,"[348, 311]","[430, 366]",45,"[389.0, 366]","[389.0, 311]","[348, 338.5]","[430, 338.5]","[65, 65]","[46, 46]","[-1, 0]","[44, 44]"
46,"[437, 314]","[592, 366]",46,"[514.5, 366]","[514.5, 314]","[437, 340.0]","[592, 340.0]","[66, 66]","[47, 47]","[9, 9]","[45, 45]"
47,"[602, 308]","[691, 362]",47,"[646.5, 362]","[646.5, 308]","[602, 335.0]","[691, 335.0]","[-1, 0]","[48, 48]","[10, 10]","[46, 46]"
48,"[699, 308]","[790, 362]",48,"[744.5, 362]","[744.5, 308]","[699, 335.0]","[790, 335.0]","[68, 68]","[49, 49]","[-1, 0]","[47, 47]"
49,"[798, 308]","[911, 362]",49,"[854.5, 362]","[854.5, 308]","[798, 335.0]","[911, 335.0]","[69, 69]","[-1, 0]","[-1, 0]","[48, 48]"
50,"[950, 304]","[1124, 369]",50,"[1037.0, 369]","[1037.0, 304]","[950, 336.5]","[1124, 336.5]","[71, 71]","[51, 51]","[12, 12]","[-1, 0]"
51,"[1124, 308]","[1264, 369]",51,"[1194.0, 369]","[1194.0, 308]","[1124, 338.5]","[1264, 338.5]","[72, 72]","[52, 52]","[-1, 0]","[50, 50]"
52,"[1267, 311]","[1387, 362]",52,"[1327.0, 362]","[1327.0, 311]","[1267, 336.5]","[1387, 336.5]","[73, 73]","[53, 53]","[-1, 0]","[51, 51]"
53,"[1383, 304]","[1472, 369]",53,"[1427.5, 369]","[1427.5, 304]","[1383, 336.5]","[1472, 336.5]","[-1, 0]","[54, 54]","[-1, 0]","[52, 52]"
54,"[1470, 308]","[1578, 373]",54,"[1524.0, 373]","[1524.0, 308]","[1470, 340.5]","[1578, 340.5]","[-1, 0]","[55, 55]","[-1, 0]","[53, 53]"
55,"[1578, 308]","[1646, 366]",55,"[1612.0, 366]","[1612.0, 308]","[1578, 337.0]","[1646, 337.0]","[75, 75]","[-1, 0]","[-1, 0]","[54, 54]"
56,"[1692, 304]","[1830, 369]",56,"[1761.0, 369]","[1761.0, 304]","[1692, 336.5]","[1830, 336.5]","[76, 76]","[57, 57]","[108, 108]","[-1, 0]"
57,"[1825, 311]","[1931, 376]",57,"[1878.0, 376]","[1878.0, 311]","[1825, 343.5]","[1931, 343.5]","[-1, 0]","[58, 58]","[26, 26]","[56, 56]"
58,"[1926, 311]","[2081, 362]",58,"[2003.5, 362]","[2003.5, 311]","[1926, 336.5]","[2081, 336.5]","[79, 79]","[59, 59]","[27, 27]","[57, 57]"
59,"[2081, 304]","[2195, 369]",59,"[2138.0, 369]","[2138.0, 304]","[2081, 336.5]","[2195, 336.5]","[81, 81]","[60, 60]","[-1, 0]","[58, 58]"
60,"[2197, 311]","[2262, 355]",60,"[2229.5, 355]","[2229.5, 311]","[2197, 333.0]","[2262, 333.0]","[82, 82]","[62, 62]","[-1, 0]","[59, 59]"
61,"[2257, 321]","[2286, 352]",61,"[2271.5, 352]","[2271.5, 321]","[2257, 336.5]","[2286, 336.5]","[82, 82]","[62, 62]","[-1, 0]","[60, 60]"
62,"[2294, 308]","[2386, 362]",62,"[2340.0, 362]","[2340.0, 308]","[2294, 335.0]","[2386, 335.0]","[83, 83]","[-1, 0]","[30, 30]","[61, 61]"
63,"[203, 359]","[292, 424]",63,"[247.5, 424]","[247.5, 359]","[203, 391.5]","[292, 391.5]","[84, 84]","[64, 64]","[44, 44]","[-1, 0]"
64,"[288, 369]","[326, 414]",64,"[307.0, 414]","[307.0, 369]","[288, 391.5]","[326, 391.5]","[-1, 0]","[65, 65]","[-1, 0]","[63, 63]"
65,"[331, 362]","[433, 417]",65,"[382.0, 417]","[382.0, 362]","[331, 389.5]","[433, 389.5]","[85, 85]","[66, 66]","[45, 45]","[64, 64]"
66,"[437, 362]","[534, 417]",66,"[485.5, 417]","[485.5, 362]","[437, 389.5]","[534, 389.5]","[86, 86]","[67, 67]","[46, 46]","[65, 65]"
67,"[529, 366]","[686, 417]",67,"[607.5, 417]","[607.5, 366]","[529, 391.5]","[686, 391.5]","[87, 87]","[68, 68]","[-1, 0]","[66, 66]"
68,"[694, 366]","[827, 417]",68,"[760.5, 417]","[760.5, 366]","[694, 391.5]","[827, 391.5]","[88, 88]","[69, 69]","[48, 48]","[67, 67]"
69,"[824, 362]","[904, 414]",69,"[864.0, 414]","[864.0, 362]","[824, 388.0]","[904, 388.0]","[89, 89]","[-1, 0]","[49, 49]","[68, 68]"
70,"[950, 355]","[1025, 424]",70,"[987.5, 424]","[987.5, 355]","[950, 389.5]","[1025, 389.5]","[90, 90]","[71, 71]","[-1, 0]","[-1, 0]"
71,"[1027, 362]","[1109, 417]",71,"[1068.0, 417]","[1068.0, 362]","[1027, 389.5]","[1109, 389.5]","[91, 91]","[72, 72]","[50, 50]","[70, 70]"
72,"[1105, 359]","[1252, 424]",72,"[1178.5, 424]","[1178.5, 359]","[1105, 391.5]","[1252, 391.5]","[92, 92]","[73, 73]","[51, 51]","[71, 71]"
73,"[1257, 362]","[1424, 414]",73,"[1340.5, 414]","[1340.5, 362]","[1257, 388.0]","[1424, 388.0]","[-1, 0]","[74, 74]","[52, 52]","[72, 72]"
74,"[1431, 359]","[1537, 424]",74,"[1484.0, 424]","[1484.0, 359]","[1431, 391.5]","[1537, 391.5]","[-1, 0]","[75, 75]","[-1, 0]","[73, 73]"
75,"[1540, 355]","[1651, 424]",75,"[1595.5, 424]","[1595.5, 355]","[1540, 389.5]","[1651, 389.5]","[128, 128]","[-1, 0]","[55, 55]","[74, 74]"
76,"[1702, 376]","[1779, 417]",76,"[1740.5, 417]","[1740.5, 376]","[1702, 396.5]","[1779, 396.5]","[-1, 0]","[-1, 0]","[56, 56]","[-1, 0]"
77,"[1820, 352]","[1868, 414]",77,"[1844.0, 414]","[1844.0, 352]","[1820, 383.0]","[1868, 383.0]","[-1, 0]","[78, 78]","[-1, 0]","[-1, 0]"
78,"[1873, 366]","[1960, 407]",78,"[1916.5, 407]","[1916.5, 366]","[1873, 386.5]","[1960, 386.5]","[97, 97]","[79, 79]","[-1, 0]","[77, 77]"
79,"[1975, 362]","[2030, 420]",79,"[2002.5, 420]","[2002.5, 362]","[1975, 391.0]","[2030, 391.0]","[-1, 0]","[80, 80]","[58, 58]","[78, 78]"
80,"[2038, 362]","[2105, 420]",80,"[2071.5, 420]","[2071.5, 362]","[2038, 391.0]","[2105, 391.0]","[-1, 0]","[81, 81]","[-1, 0]","[79, 79]"
81,"[2117, 366]","[2163, 410]",81,"[2140.0, 410]","[2140.0, 366]","[2117, 388.0]","[2163, 388.0]","[-1, 0]","[82, 82]","[59, 59]","[80, 80]"
82,"[2175, 366]","[2328, 407]",82,"[2251.5, 407]","[2251.5, 366]","[2175, 386.5]","[2328, 386.5]","[-1, 0]","[83, 83]","[61, 61]","[81, 81]"
83,"[2340, 359]","[2390, 417]",83,"[2365.0, 417]","[2365.0, 359]","[2340, 388.0]","[2390, 388.0]","[-1, 0]","[-1, 0]","[62, 62]","[82, 82]"
84,"[208, 414]","[273, 472]",84,"[240.5, 472]","[240.5, 414]","[208, 443.0]","[273, 443.0]","[115, 115]","[85, 85]","[63, 63]","[-1, 0]"
85,"[283, 414]","[447, 479]",85,"[365.0, 479]","[365.0, 414]","[283, 446.5]","[447, 446.5]","[116, 116]","[86, 86]","[65, 65]","[84, 84]"
86,"[447, 414]","[558, 468]",86,"[502.5, 468]","[502.5, 414]","[447, 441.0]","[558, 441.0]","[118, 118]","[87, 87]","[66, 66]","[85, 85]"
87,"[561, 417]","[677, 468]",87,"[619.0, 468]","[619.0, 417]","[561, 442.5]","[677, 442.5]","[119, 119]","[88, 88]","[67, 67]","[86, 86]"
