Unnamed: 0,Top-Left,Bottom-Right,Id,Bottom,Top,Left,Right,Bottom_Box,Right_Box,Top_Box,Left_Box
0,"[276, 294]","[442, 345]",0,"[359.0, 345]","[359.0, 294]","[276, 319.5]","[442, 319.5]","[-1, 0]","[1, 1]","[-1, 0]","[-1, 0]"
1,"[469, 297]","[645, 362]",1,"[557.0, 362]","[557.0, 297]","[469, 329.5]","[645, 329.5]","[-1, 0]","[2, 2]","[-1, 0]","[0, 0]"
2,"[672, 294]","[812, 345]",2,"[742.0, 345]","[742.0, 294]","[672, 319.5]","[812, 319.5]","[-1, 0]","[3, 3]","[-1, 0]","[1, 1]"
3,"[834, 297]","[902, 352]",3,"[868.0, 352]","[868.0, 297]","[834, 324.5]","[902, 324.5]","[-1, 0]","[4, 4]","[-1, 0]","[2, 2]"
4,"[928, 297]","[1225, 359]",4,"[1076.5, 359]","[1076.5, 297]","[928, 328.0]","[1225, 328.0]","[-1, 0]","[-1, 0]","[-1, 0]","[3, 3]"
5,"[411, 390]","[549, 441]",5,"[480.0, 441]","[480.0, 390]","[411, 415.5]","[549, 415.5]","[-1, 0]","[6, 6]","[-1, 0]","[-1, 0]"
6,"[595, 390]","[807, 455]",6,"[701.0, 455]","[701.0, 390]","[595, 422.5]","[807, 422.5]","[14, 14]","[7, 7]","[-1, 0]","[5, 5]"
7,"[851, 386]","[960, 465]",7,"[905.5, 465]","[905.5, 386]","[851, 425.5]","[960, 425.5]","[-1, 0]","[8, 8]","[-1, 0]","[6, 6]"
8,"[1001, 390]","[1257, 438]",8,"[1129.0, 438]","[1129.0, 390]","[1001, 414.0]","[1257, 414.0]","[-1, 0]","[9, 9]","[-1, 0]","[7, 7]"
9,"[1303, 390]","[1479, 441]",9,"[1391.0, 441]","[1391.0, 390]","[1303, 415.5]","[1479, 415.5]","[-1, 0]","[-1, 0]","[-1, 0]","[8, 8]"
10,"[1528, 393]","[1762, 458]",10,"[1645.0, 458]","[1645.0, 393]","[1528, 425.5]","[1762, 425.5]","[-1, 0]","[11, 11]","[-1, 0]","[-1, 0]"
11,"[1808, 386]","[1902, 468]",11,"[1855.0, 468]","[1855.0, 386]","[1808, 427.0]","[1902, 427.0]","[18, 18]","[12, 12]","[-1, 0]","[10, 10]"
12,"[1938, 386]","[2197, 461]",12,"[2067.5, 461]","[2067.5, 386]","[1938, 423.5]","[2197, 423.5]","[19, 19]","[-1, 0]","[-1, 0]","[11, 11]"
13,"[276, 468]","[498, 543]",13,"[387.0, 543]","[387.0, 468]","[276, 505.5]","[498, 505.5]","[20, 20]","[14, 14]","[-1, 0]","[-1, 0]"
14,"[537, 468]","[947, 530]",14,"[742.0, 530]","[742.0, 468]","[537, 499.0]","[947, 499.0]","[-1, 0]","[15, 15]","[6, 6]","[13, 13]"
15,"[981, 472]","[1213, 520]",15,"[1097.0, 520]","[1097.0, 472]","[981, 496.0]","[1213, 496.0]","[-1, 0]","[16, 16]","[-1, 0]","[14, 14]"
16,"[1250, 472]","[1370, 523]",16,"[1310.0, 523]","[1310.0, 472]","[1250, 497.5]","[1370, 497.5]","[-1, 0]","[17, 17]","[-1, 0]","[15, 15]"
17,"[1404, 465]","[1750, 537]",17,"[1577.0, 537]","[1577.0, 465]","[1404, 501.0]","[1750, 501.0]","[-1, 0]","[18, 18]","[-1, 0]","[16, 16]"
