Unnamed: 0,Top-Left,Bottom-Right,Id,Bottom,Top,Left,Right,Bottom_Box,Right_Box,Top_Box,Left_Box
0,"[75, 68]","[259, 144]",0,"[167.0, 144]","[167.0, 68]","[75, 106.0]","[259, 106.0]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
1,"[46, 144]","[614, 352]",1,"[330.0, 352]","[330.0, 144]","[46, 248.0]","[614, 248.0]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
2,"[694, 215]","[713, 243]",2,"[703.5, 243]","[703.5, 215]","[694, 229.0]","[713, 229.0]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
3,"[778, 185]","[848, 284]",3,"[813.0, 284]","[813.0, 185]","[778, 234.5]","[848, 234.5]","[-1, 0]","[4, 4]","[-1, 0]","[-1, 0]"
4,"[889, 157]","[1170, 311]",4,"[1029.5, 311]","[1029.5, 157]","[889, 234.0]","[1170, 234.0]","[-1, 0]","[5, 5]","[-1, 0]","[3, 3]"
5,"[1194, 164]","[1482, 342]",5,"[1338.0, 342]","[1338.0, 164]","[1194, 253.0]","[1482, 253.0]","[-1, 0]","[-1, 0]","[-1, 0]","[4, 4]"
6,"[1530, 154]","[1851, 314]",6,"[1690.5, 314]","[1690.5, 154]","[1530, 234.0]","[1851, 234.0]","[13, 13]","[-1, 0]","[-1, 0]","[-1, 0]"
7,"[73, 349]","[341, 424]",7,"[207.0, 424]","[207.0, 349]","[73, 386.5]","[341, 386.5]","[-1, 0]","[8, 8]","[-1, 0]","[-1, 0]"
8,"[360, 349]","[725, 424]",8,"[542.5, 424]","[542.5, 349]","[360, 386.5]","[725, 386.5]","[-1, 0]","[9, 9]","[-1, 0]","[7, 7]"
9,"[747, 342]","[868, 410]",9,"[807.5, 410]","[807.5, 342]","[747, 376.0]","[868, 376.0]","[16, 16]","[10, 10]","[-1, 0]","[8, 8]"
10,"[887, 345]","[1049, 410]",10,"[968.0, 410]","[968.0, 345]","[887, 377.5]","[1049, 377.5]","[-1, 0]","[11, 11]","[-1, 0]","[9, 9]"
11,"[1071, 338]","[1358, 414]",11,"[1214.5, 414]","[1214.5, 338]","[1071, 376.0]","[1358, 376.0]","[-1, 0]","[12, 12]","[-1, 0]","[10, 10]"
12,"[1375, 338]","[1506, 414]",12,"[1440.5, 414]","[1440.5, 338]","[1375, 376.0]","[1506, 376.0]","[18, 18]","[13, 13]","[-1, 0]","[11, 11]"
13,"[1523, 338]","[1798, 414]",13,"[1660.5, 414]","[1660.5, 338]","[1523, 376.0]","[1798, 376.0]","[19, 19]","[-1, 0]","[6, 6]","[12, 12]"
14,"[68, 420]","[169, 499]",14,"[118.5, 499]","[118.5, 420]","[68, 459.5]","[169, 459.5]","[20, 20]","[15, 15]","[-1, 0]","[-1, 0]"
15,"[184, 420]","[604, 516]",15,"[394.0, 516]","[394.0, 420]","[184, 468.0]","[604, 468.0]","[22, 22]","[16, 16]","[-1, 0]","[14, 14]"
16,"[624, 431]","[1025, 492]",16,"[824.5, 492]","[824.5, 431]","[624, 461.5]","[1025, 461.5]","[25, 25]","[17, 17]","[9, 9]","[15, 15]"
