Unnamed: 0,Top-Left,Bottom-Right,Id,Bottom,Top,Left,Right,Bottom_Box,Right_Box,Top_Box,Left_Box
0,"[338, 133]","[469, 185]",0,"[403.5, 185]","[403.5, 133]","[338, 159.0]","[469, 159.0]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
1,"[662, 126]","[795, 178]",1,"[728.5, 178]","[728.5, 126]","[662, 152.0]","[795, 152.0]","[-1, 0]","[2, 2]","[-1, 0]","[-1, 0]"
2,"[822, 133]","[923, 185]",2,"[872.5, 185]","[872.5, 133]","[822, 159.0]","[923, 159.0]","[-1, 0]","[-1, 0]","[-1, 0]","[1, 1]"
3,"[592, 250]","[694, 314]",3,"[643.0, 314]","[643.0, 250]","[592, 282.0]","[694, 282.0]","[-1, 0]","[4, 4]","[-1, 0]","[-1, 0]"
4,"[735, 253]","[846, 308]",4,"[790.5, 308]","[790.5, 253]","[735, 280.5]","[846, 280.5]","[-1, 0]","[-1, 0]","[-1, 0]","[3, 3]"
5,"[1112, 133]","[1136, 181]",5,"[1124.0, 181]","[1124.0, 133]","[1112, 157.0]","[1136, 157.0]","[-1, 0]","[6, 6]","[-1, 0]","[-1, 0]"
6,"[1170, 123]","[1286, 191]",6,"[1228.0, 191]","[1228.0, 123]","[1170, 157.0]","[1286, 157.0]","[-1, 0]","[7, 7]","[-1, 0]","[5, 5]"
7,"[1325, 130]","[1443, 181]",7,"[1384.0, 181]","[1384.0, 130]","[1325, 155.5]","[1443, 155.5]","[-1, 0]","[-1, 0]","[-1, 0]","[6, 6]"
8,"[1636, 123]","[1774, 174]",8,"[1705.0, 174]","[1705.0, 123]","[1636, 148.5]","[1774, 148.5]","[-1, 0]","[9, 9]","[-1, 0]","[-1, 0]"
9,"[1791, 130]","[1893, 181]",9,"[1842.0, 181]","[1842.0, 130]","[1791, 155.5]","[1893, 155.5]","[-1, 0]","[-1, 0]","[-1, 0]","[8, 8]"
10,"[2076, 123]","[2212, 185]",10,"[2144.0, 185]","[2144.0, 123]","[2076, 154.0]","[2212, 154.0]","[16, 16]","[-1, 0]","[-1, 0]","[-1, 0]"
11,"[1346, 250]","[1455, 304]",11,"[1400.5, 304]","[1400.5, 250]","[1346, 277.0]","[1455, 277.0]","[17, 17]","[12, 12]","[-1, 0]","[-1, 0]"
12,"[1474, 246]","[1537, 321]",12,"[1505.5, 321]","[1505.5, 246]","[1474, 283.5]","[1537, 283.5]","[-1, 0]","[13, 13]","[-1, 0]","[11, 11]"
13,"[1576, 260]","[1665, 325]",13,"[1620.5, 325]","[1620.5, 260]","[1576, 292.5]","[1665, 292.5]","[18, 18]","[14, 14]","[-1, 0]","[12, 12]"
14,"[1714, 246]","[1893, 308]",14,"[1803.5, 308]","[1803.5, 246]","[1714, 277.0]","[1893, 277.0]","[20, 20]","[15, 15]","[-1, 0]","[13, 13]"
15,"[1931, 243]","[2042, 308]",15,"[1986.5, 308]","[1986.5, 243]","[1931, 275.5]","[2042, 275.5]","[22, 22]","[16, 16]","[-1, 0]","[14, 14]"
16,"[2079, 243]","[2183, 321]",16,"[2131.0, 321]","[2131.0, 243]","[2079, 282.0]","[2183, 282.0]","[23, 23]","[-1, 0]","[10, 10]","[15, 15]"
17,"[1339, 321]","[1530, 396]",17,"[1434.5, 396]","[1434.5, 321]","[1339, 358.5]","[1530, 358.5]","[274, 274]","[18, 18]","[11, 11]","[-1, 0]"
18,"[1537, 328]","[1631, 393]",18,"[1584.0, 393]","[1584.0, 328]","[1537, 360.5]","[1631, 360.5]","[-1, 0]","[19, 19]","[13, 13]","[17, 17]"
19,"[1639, 332]","[1767, 383]",19,"[1703.0, 383]","[1703.0, 332]","[1639, 357.5]","[1767, 357.5]","[-1, 0]","[20, 20]","[-1, 0]","[18, 18]"
20,"[1774, 328]","[1830, 390]",20,"[1802.0, 390]","[1802.0, 328]","[1774, 359.0]","[1830, 359.0]","[-1, 0]","[21, 21]","[14, 14]","[19, 19]"
21,"[1849, 328]","[1963, 383]",21,"[1906.0, 383]","[1906.0, 328]","[1849, 355.5]","[1963, 355.5]","[-1, 0]","[22, 22]","[-1, 0]","[20, 20]"
22,"[1980, 325]","[2025, 390]",22,"[2002.5, 390]","[2002.5, 325]","[1980, 357.5]","[2025, 357.5]","[-1, 0]","[23, 23]","[15, 15]","[21, 21]"
23,"[2033, 321]","[2183, 400]",23,"[2108.0, 400]","[2108.0, 321]","[2033, 360.5]","[2183, 360.5]","[-1, 0]","[-1, 0]","[16, 16]","[22, 22]"
24,"[1450, 479]","[1542, 561]",24,"[1496.0, 561]","[1496.0, 479]","[1450, 520.0]","[1542, 520.0]","[31, 31]","[25, 25]","[-1, 0]","[-1, 0]"
25,"[1569, 479]","[1663, 561]",25,"[1616.0, 561]","[1616.0, 479]","[1569, 520.0]","[1663, 520.0]","[32, 32]","[26, 26]","[-1, 0]","[24, 24]"
26,"[1682, 479]","[1769, 561]",26,"[1725.5, 561]","[1725.5, 479]","[1682, 520.0]","[1769, 520.0]","[33, 33]","[27, 27]","[-1, 0]","[25, 25]"
27,"[1820, 482]","[1931, 547]",27,"[1875.5, 547]","[1875.5, 482]","[1820, 514.5]","[1931, 514.5]","[34, 34]","[28, 28]","[-1, 0]","[26, 26]"
28,"[1963, 485]","[2059, 550]",28,"[2011.0, 550]","[2011.0, 485]","[1963, 517.5]","[2059, 517.5]","[35, 35]","[29, 29]","[-1, 0]","[27, 27]"
