Unnamed: 0,Top-Left,Bottom-Right,Id,Bottom,Top,Left,Right,Bottom_Box,Right_Box,Top_Box,Left_Box
0,"[433, 246]","[529, 301]",0,"[481.0, 301]","[481.0, 246]","[433, 273.5]","[529, 273.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
1,"[1769, 253]","[2248, 328]",1,"[2008.5, 328]","[2008.5, 253]","[1769, 290.5]","[2248, 290.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
2,"[660, 420]","[822, 509]",2,"[741.0, 509]","[741.0, 420]","[660, 464.5]","[822, 464.5]","[7, 7]","[3, 3]","[-1, 0]","[-1, 0]"
3,"[841, 427]","[998, 506]",3,"[919.5, 506]","[919.5, 427]","[841, 466.5]","[998, 466.5]","[8, 8]","[4, 4]","[-1, 0]","[2, 2]"
4,"[1022, 424]","[1136, 520]",4,"[1079.0, 520]","[1079.0, 424]","[1022, 472.0]","[1136, 472.0]","[9, 9]","[5, 5]","[-1, 0]","[3, 3]"
5,"[1153, 427]","[1363, 530]",5,"[1258.0, 530]","[1258.0, 427]","[1153, 478.5]","[1363, 478.5]","[10, 10]","[6, 6]","[-1, 0]","[4, 4]"
6,"[1383, 434]","[1629, 506]",6,"[1506.0, 506]","[1506.0, 434]","[1383, 470.0]","[1629, 470.0]","[-1, 0]","[-1, 0]","[-1, 0]","[5, 5]"
7,"[660, 540]","[790, 605]",7,"[725.0, 605]","[725.0, 540]","[660, 572.5]","[790, 572.5]","[-1, 0]","[8, 8]","[2, 2]","[-1, 0]"
8,"[810, 547]","[940, 612]",8,"[875.0, 612]","[875.0, 547]","[810, 579.5]","[940, 579.5]","[-1, 0]","[9, 9]","[3, 3]","[7, 7]"
9,"[962, 550]","[1134, 629]",9,"[1048.0, 629]","[1048.0, 550]","[962, 589.5]","[1134, 589.5]","[-1, 0]","[10, 10]","[4, 4]","[8, 8]"
10,"[1143, 550]","[1414, 636]",10,"[1278.5, 636]","[1278.5, 550]","[1143, 593.0]","[1414, 593.0]","[-1, 0]","[11, 11]","[5, 5]","[9, 9]"
11,"[1438, 557]","[1653, 622]",11,"[1545.5, 622]","[1545.5, 557]","[1438, 589.5]","[1653, 589.5]","[-1, 0]","[-1, 0]","[-1, 0]","[10, 10]"
12,"[648, 649]","[1242, 759]",12,"[945.0, 759]","[945.0, 649]","[648, 704.0]","[1242, 704.0]","[-1, 0]","[13, 13]","[-1, 0]","[-1, 0]"
13,"[1262, 667]","[1644, 728]",13,"[1453.0, 728]","[1453.0, 667]","[1262, 697.5]","[1644, 697.5]","[-1, 0]","[-1, 0]","[-1, 0]","[12, 12]"
14,"[2183, 557]","[2216, 615]",14,"[2199.5, 615]","[2199.5, 557]","[2183, 586.0]","[2216, 586.0]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
15,"[655, 824]","[788, 899]",15,"[721.5, 899]","[721.5, 824]","[655, 861.5]","[788, 861.5]","[-1, 0]","[16, 16]","[-1, 0]","[-1, 0]"
16,"[815, 837]","[1097, 899]",16,"[956.0, 899]","[956.0, 837]","[815, 868.0]","[1097, 868.0]","[23, 23]","[17, 17]","[-1, 0]","[15, 15]"
17,"[1124, 827]","[1310, 889]",17,"[1217.0, 889]","[1217.0, 827]","[1124, 858.0]","[1310, 858.0]","[-1, 0]","[18, 18]","[-1, 0]","[16, 16]"
18,"[1337, 834]","[1573, 896]",18,"[1455.0, 896]","[1455.0, 834]","[1337, 865.0]","[1573, 865.0]","[-1, 0]","[19, 19]","[-1, 0]","[17, 17]"
19,"[1602, 834]","[1861, 885]",19,"[1731.5, 885]","[1731.5, 834]","[1602, 859.5]","[1861, 859.5]","[-1, 0]","[20, 20]","[-1, 0]","[18, 18]"
20,"[1888, 831]","[2035, 909]",20,"[1961.5, 909]","[1961.5, 831]","[1888, 870.0]","[2035, 870.0]","[25, 25]","[21, 21]","[-1, 0]","[19, 19]"
21,"[2057, 834]","[2245, 909]",21,"[2151.0, 909]","[2151.0, 834]","[2057, 871.5]","[2245, 871.5]","[-1, 0]","[-1, 0]","[-1, 0]","[20, 20]"
22,"[430, 933]","[732, 1005]",22,"[581.0, 1005]","[581.0, 933]","[430, 969.0]","[732, 969.0]","[-1, 0]","[23, 23]","[-1, 0]","[-1, 0]"
23,"[771, 940]","[1114, 1015]",23,"[942.5, 1015]","[942.5, 940]","[771, 977.5]","[1114, 977.5]","[-1, 0]","[24, 24]","[16, 16]","[22, 22]"
24,"[1150, 940]","[1639, 1012]",24,"[1394.5, 1012]","[1394.5, 940]","[1150, 976.0]","[1639, 976.0]","[-1, 0]","[25, 25]","[-1, 0]","[23, 23]"
25,"[1675, 937]","[2245, 1022]",25,"[1960.0, 1022]","[1960.0, 937]","[1675, 979.5]","[2245, 979.5]","[30, 30]","[-1, 0]","[20, 20]","[24, 24]"
26,"[416, 1042]","[1076, 1128]",26,"[746.0, 1128]","[746.0, 1042]","[416, 1085.0]","[1076, 1085.0]","[-1, 0]","[27, 27]","[-1, 0]","[-1, 0]"
27,"[1097, 1053]","[1358, 1104]",27,"[1227.5, 1104]","[1227.5, 1053]","[1097, 1078.5]","[1358, 1078.5]","[-1, 0]","[28, 28]","[-1, 0]","[26, 26]"
28,"[1383, 1056]","[1612, 1131]",28,"[1497.5, 1131]","[1497.5, 1056]","[1383, 1093.5]","[1612, 1093.5]","[34, 34]","[29, 29]","[-1, 0]","[27, 27]"
29,"[1636, 1053]","[1907, 1114]",29,"[1771.5, 1114]","[1771.5, 1053]","[1636, 1083.5]","[1907, 1083.5]","[-1, 0]","[30, 30]","[-1, 0]","[28, 28]"
30,"[1929, 1063]","[2050, 1114]",30,"[1989.5, 1114]","[1989.5, 1063]","[1929, 1088.5]","[2050, 1088.5]","[35, 35]","[31, 31]","[25, 25]","[29, 29]"
31,"[2074, 1053]","[2243, 1104]",31,"[2158.5, 1104]","[2158.5, 1053]","[2074, 1078.5]","[2243, 1078.5]","[-1, 0]","[-1, 0]","[-1, 0]","[30, 30]"
32,"[423, 1155]","[841, 1230]",32,"[632.0, 1230]","[632.0, 1155]","[423, 1192.5]","[841, 1192.5]","[36, 36]","[33, 33]","[-1, 0]","[-1, 0]"
33,"[865, 1162]","[1303, 1237]",33,"[1084.0, 1237]","[1084.0, 1162]","[865, 1199.5]","[1303, 1199.5]","[38, 38]","[34, 34]","[-1, 0]","[32, 32]"
34,"[1327, 1169]","[1711, 1241]",34,"[1519.0, 1241]","[1519.0, 1169]","[1327, 1205.0]","[1711, 1205.0]","[40, 40]","[35, 35]","[28, 28]","[33, 33]"
35,"[1735, 1159]","[2243, 1234]",35,"[1989.0, 1234]","[1989.0, 1159]","[1735, 1196.5]","[2243, 1196.5]","[-1, 0]","[-1, 0]","[30, 30]","[34, 34]"
36,"[428, 1271]","[766, 1343]",36,"[597.0, 1343]","[597.0, 1271]","[428, 1307.0]","[766, 1307.0]","[44, 44]","[37, 37]","[32, 32]","[-1, 0]"
37,"[793, 1271]","[935, 1347]",37,"[864.0, 1347]","[864.0, 1271]","[793, 1309.0]","[935, 1309.0]","[-1, 0]","[38, 38]","[-1, 0]","[36, 36]"
38,"[964, 1268]","[1238, 1330]",38,"[1101.0, 1330]","[1101.0, 1268]","[964, 1299.0]","[1238, 1299.0]","[45, 45]","[39, 39]","[33, 33]","[37, 37]"
39,"[1267, 1271]","[1370, 1340]",39,"[1318.5, 1340]","[1318.5, 1271]","[1267, 1305.5]","[1370, 1305.5]","[-1, 0]","[40, 40]","[-1, 0]","[38, 38]"
40,"[1397, 1275]","[1711, 1347]",40,"[1554.0, 1347]","[1554.0, 1275]","[1397, 1311.0]","[1711, 1311.0]","[-1, 0]","[41, 41]","[34, 34]","[39, 39]"
41,"[1740, 1271]","[2016, 1347]",41,"[1878.0, 1347]","[1878.0, 1271]","[1740, 1309.0]","[2016, 1309.0]","[47, 47]","[42, 42]","[-1, 0]","[40, 40]"
42,"[2042, 1271]","[2183, 1347]",42,"[2112.5, 1347]","[2112.5, 1271]","[2042, 1309.0]","[2183, 1309.0]","[48, 48]","[43, 43]","[-1, 0]","[41, 41]"
43,"[2199, 1268]","[2250, 1326]",43,"[2224.5, 1326]","[2224.5, 1268]","[2199, 1297.0]","[2250, 1297.0]","[-1, 0]","[-1, 0]","[-1, 0]","[42, 42]"
44,"[425, 1377]","[831, 1453]",44,"[628.0, 1453]","[628.0, 1377]","[425, 1415.0]","[831, 1415.0]","[49, 49]","[45, 45]","[36, 36]","[-1, 0]"
45,"[865, 1381]","[1320, 1456]",45,"[1092.5, 1456]","[1092.5, 1381]","[865, 1418.5]","[1320, 1418.5]","[-1, 0]","[46, 46]","[38, 38]","[44, 44]"
46,"[1349, 1388]","[1576, 1453]",46,"[1462.5, 1453]","[1462.5, 1388]","[1349, 1420.5]","[1576, 1420.5]","[-1, 0]","[47, 47]","[-1, 0]","[45, 45]"
47,"[1600, 1381]","[2076, 1453]",47,"[1838.0, 1453]","[1838.0, 1381]","[1600, 1417.0]","[2076, 1417.0]","[51, 51]","[48, 48]","[41, 41]","[46, 46]"
48,"[2098, 1371]","[2245, 1432]",48,"[2171.5, 1432]","[2171.5, 1371]","[2098, 1401.5]","[2245, 1401.5]","[52, 52]","[-1, 0]","[42, 42]","[47, 47]"
49,"[423, 1490]","[802, 1562]",49,"[612.5, 1562]","[612.5, 1490]","[423, 1526.0]","[802, 1526.0]","[53, 53]","[50, 50]","[44, 44]","[-1, 0]"
50,"[851, 1490]","[1496, 1562]",50,"[1173.5, 1562]","[1173.5, 1490]","[851, 1526.0]","[1496, 1526.0]","[-1, 0]","[51, 51]","[-1, 0]","[49, 49]"
51,"[1530, 1473]","[2093, 1579]",51,"[1811.5, 1579]","[1811.5, 1473]","[1530, 1526.0]","[2093, 1526.0]","[-1, 0]","[52, 52]","[47, 47]","[50, 50]"
52,"[2125, 1483]","[2250, 1576]",52,"[2187.5, 1576]","[2187.5, 1483]","[2125, 1529.5]","[2250, 1529.5]","[59, 59]","[-1, 0]","[48, 48]","[51, 51]"
53,"[425, 1600]","[834, 1675]",53,"[629.5, 1675]","[629.5, 1600]","[425, 1637.5]","[834, 1637.5]","[60, 60]","[54, 54]","[49, 49]","[-1, 0]"
54,"[868, 1589]","[1271, 1685]",54,"[1069.5, 1685]","[1069.5, 1589]","[868, 1637.0]","[1271, 1637.0]","[-1, 0]","[55, 55]","[-1, 0]","[53, 53]"
55,"[1305, 1600]","[1467, 1651]",55,"[1386.0, 1651]","[1386.0, 1600]","[1305, 1625.5]","[1467, 1625.5]","[-1, 0]","[56, 56]","[-1, 0]","[54, 54]"
56,"[1501, 1596]","[1595, 1661]",56,"[1548.0, 1661]","[1548.0, 1596]","[1501, 1628.5]","[1595, 1628.5]","[-1, 0]","[57, 57]","[-1, 0]","[55, 55]"
57,"[1627, 1596]","[1774, 1675]",57,"[1700.5, 1675]","[1700.5, 1596]","[1627, 1635.5]","[1774, 1635.5]","[62, 62]","[58, 58]","[-1, 0]","[56, 56]"
58,"[1805, 1596]","[2110, 1668]",58,"[1957.5, 1668]","[1957.5, 1596]","[1805, 1632.0]","[2110, 1632.0]","[-1, 0]","[59, 59]","[-1, 0]","[57, 57]"
59,"[2144, 1593]","[2245, 1661]",59,"[2194.5, 1661]","[2194.5, 1593]","[2144, 1627.0]","[2245, 1627.0]","[-1, 0]","[-1, 0]","[52, 52]","[58, 58]"
60,"[421, 1702]","[894, 1798]",60,"[657.5, 1798]","[657.5, 1702]","[421, 1750.0]","[894, 1750.0]","[64, 64]","[61, 61]","[53, 53]","[-1, 0]"
61,"[923, 1709]","[1486, 1784]",61,"[1204.5, 1784]","[1204.5, 1709]","[923, 1746.5]","[1486, 1746.5]","[66, 66]","[62, 62]","[-1, 0]","[60, 60]"
62,"[1515, 1702]","[1948, 1777]",62,"[1731.5, 1777]","[1731.5, 1702]","[1515, 1739.5]","[1948, 1739.5]","[-1, 0]","[63, 63]","[57, 57]","[61, 61]"
63,"[1977, 1702]","[2243, 1777]",63,"[2110.0, 1777]","[2110.0, 1702]","[1977, 1739.5]","[2243, 1739.5]","[-1, 0]","[-1, 0]","[-1, 0]","[62, 62]"
64,"[416, 1815]","[800, 1900]",64,"[608.0, 1900]","[608.0, 1815]","[416, 1857.5]","[800, 1857.5]","[-1, 0]","[65, 65]","[60, 60]","[-1, 0]"
65,"[829, 1812]","[1078, 1883]",65,"[953.5, 1883]","[953.5, 1812]","[829, 1847.5]","[1078, 1847.5]","[72, 72]","[66, 66]","[-1, 0]","[64, 64]"
66,"[1105, 1815]","[1242, 1866]",66,"[1173.5, 1866]","[1173.5, 1815]","[1105, 1840.5]","[1242, 1840.5]","[-1, 0]","[67, 67]","[61, 61]","[65, 65]"
67,"[1269, 1812]","[1370, 1876]",67,"[1319.5, 1876]","[1319.5, 1812]","[1269, 1844.0]","[1370, 1844.0]","[-1, 0]","[68, 68]","[-1, 0]","[66, 66]"
68,"[1399, 1818]","[1612, 1870]",68,"[1505.5, 1870]","[1505.5, 1818]","[1399, 1844.0]","[1612, 1844.0]","[-1, 0]","[69, 69]","[-1, 0]","[67, 67]"
69,"[1644, 1812]","[2047, 1873]",69,"[1845.5, 1873]","[1845.5, 1812]","[1644, 1842.5]","[2047, 1842.5]","[-1, 0]","[70, 70]","[-1, 0]","[68, 68]"
