Unnamed: 0,Top-Left,Bottom-Right,Id,Bottom,Top,Left,Right,Bottom_Box,Right_Box,Top_Box,Left_Box
0,"[408, 287]","[800, 373]",0,"[604.0, 373]","[604.0, 287]","[408, 330.0]","[800, 330.0]","[-1, 0]","[1, 1]","[-1, 0]","[-1, 0]"
1,"[839, 291]","[1080, 366]",1,"[959.5, 366]","[959.5, 291]","[839, 328.5]","[1080, 328.5]","[10, 10]","[2, 2]","[-1, 0]","[0, 0]"
2,"[1121, 287]","[1225, 383]",2,"[1173.0, 383]","[1173.0, 287]","[1121, 335.0]","[1225, 335.0]","[11, 11]","[3, 3]","[-1, 0]","[1, 1]"
3,"[1252, 291]","[1617, 366]",3,"[1434.5, 366]","[1434.5, 291]","[1252, 328.5]","[1617, 328.5]","[12, 12]","[4, 4]","[-1, 0]","[2, 2]"
4,"[1656, 287]","[1885, 373]",4,"[1770.5, 373]","[1770.5, 287]","[1656, 330.0]","[1885, 330.0]","[-1, 0]","[5, 5]","[-1, 0]","[3, 3]"
5,"[1924, 291]","[2074, 352]",5,"[1999.0, 352]","[1999.0, 291]","[1924, 321.5]","[2074, 321.5]","[-1, 0]","[6, 6]","[-1, 0]","[4, 4]"
6,"[2115, 291]","[2207, 373]",6,"[2161.0, 373]","[2161.0, 291]","[2115, 332.0]","[2207, 332.0]","[15, 15]","[-1, 0]","[-1, 0]","[5, 5]"
7,"[273, 366]","[452, 444]",7,"[362.5, 444]","[362.5, 366]","[273, 405.0]","[452, 405.0]","[-1, 0]","[8, 8]","[-1, 0]","[-1, 0]"
8,"[479, 369]","[614, 448]",8,"[546.5, 448]","[546.5, 369]","[479, 408.5]","[614, 408.5]","[-1, 0]","[9, 9]","[-1, 0]","[7, 7]"
9,"[636, 369]","[754, 434]",9,"[695.0, 434]","[695.0, 369]","[636, 401.5]","[754, 401.5]","[-1, 0]","[10, 10]","[-1, 0]","[8, 8]"
10,"[786, 366]","[1092, 427]",10,"[939.0, 427]","[939.0, 366]","[786, 396.5]","[1092, 396.5]","[-1, 0]","[11, 11]","[1, 1]","[9, 9]"
11,"[1119, 345]","[1279, 434]",11,"[1199.0, 434]","[1199.0, 345]","[1119, 389.5]","[1279, 389.5]","[-1, 0]","[12, 12]","[2, 2]","[10, 10]"
12,"[1305, 373]","[1489, 424]",12,"[1397.0, 424]","[1397.0, 373]","[1305, 398.5]","[1489, 398.5]","[-1, 0]","[13, 13]","[3, 3]","[11, 11]"
13,"[1518, 355]","[1745, 455]",13,"[1631.5, 455]","[1631.5, 355]","[1518, 405.0]","[1745, 405.0]","[21, 21]","[14, 14]","[-1, 0]","[12, 12]"
14,"[1762, 366]","[2042, 427]",14,"[1902.0, 427]","[1902.0, 366]","[1762, 396.5]","[2042, 396.5]","[22, 22]","[15, 15]","[-1, 0]","[13, 13]"
15,"[2069, 366]","[2202, 427]",15,"[2135.5, 427]","[2135.5, 366]","[2069, 396.5]","[2202, 396.5]","[23, 23]","[-1, 0]","[6, 6]","[14, 14]"
16,"[273, 444]","[660, 516]",16,"[466.5, 516]","[466.5, 444]","[273, 480.0]","[660, 480.0]","[24, 24]","[17, 17]","[-1, 0]","[-1, 0]"
17,"[696, 448]","[969, 509]",17,"[832.5, 509]","[832.5, 448]","[696, 478.5]","[969, 478.5]","[-1, 0]","[18, 18]","[-1, 0]","[16, 16]"
18,"[1010, 458]","[1097, 523]",18,"[1053.5, 523]","[1053.5, 458]","[1010, 490.5]","[1097, 490.5]","[26, 26]","[19, 19]","[-1, 0]","[17, 17]"
19,"[1134, 448]","[1370, 499]",19,"[1252.0, 499]","[1252.0, 448]","[1134, 473.5]","[1370, 473.5]","[-1, 0]","[20, 20]","[-1, 0]","[18, 18]"
20,"[1412, 451]","[1532, 502]",20,"[1472.0, 502]","[1472.0, 451]","[1412, 476.5]","[1532, 476.5]","[-1, 0]","[21, 21]","[-1, 0]","[19, 19]"
21,"[1569, 427]","[1757, 526]",21,"[1663.0, 526]","[1663.0, 427]","[1569, 476.5]","[1757, 476.5]","[-1, 0]","[22, 22]","[13, 13]","[20, 20]"
22,"[1789, 448]","[1977, 513]",22,"[1883.0, 513]","[1883.0, 448]","[1789, 480.5]","[1977, 480.5]","[-1, 0]","[23, 23]","[14, 14]","[21, 21]"
23,"[2018, 448]","[2204, 526]",23,"[2111.0, 526]","[2111.0, 448]","[2018, 487.0]","[2204, 487.0]","[31, 31]","[-1, 0]","[15, 15]","[22, 22]"
24,"[276, 523]","[602, 598]",24,"[439.0, 598]","[439.0, 523]","[276, 560.5]","[602, 560.5]","[33, 33]","[25, 25]","[16, 16]","[-1, 0]"
25,"[631, 516]","[923, 591]",25,"[777.0, 591]","[777.0, 516]","[631, 553.5]","[923, 553.5]","[-1, 0]","[26, 26]","[-1, 0]","[24, 24]"
26,"[952, 523]","[1225, 595]",26,"[1088.5, 595]","[1088.5, 523]","[952, 559.0]","[1225, 559.0]","[35, 35]","[27, 27]","[18, 18]","[25, 25]"
27,"[1254, 530]","[1433, 571]",27,"[1343.5, 571]","[1343.5, 530]","[1254, 550.5]","[1433, 550.5]","[-1, 0]","[28, 28]","[-1, 0]","[26, 26]"
28,"[1462, 523]","[1581, 605]",28,"[1521.5, 605]","[1521.5, 523]","[1462, 564.0]","[1581, 564.0]","[-1, 0]","[29, 29]","[-1, 0]","[27, 27]"
