Unnamed: 0,Top-Left,Bottom-Right,Id,Bottom,Top,Left,Right,Bottom_Box,Right_Box,Top_Box,Left_Box
0,"[1409, 236]","[1518, 277]",0,"[1463.5, 277]","[1463.5, 236]","[1409, 256.5]","[1518, 256.5]","[-1, 0]","[1, 1]","[-1, 0]","[-1, 0]"
1,"[1520, 226]","[1726, 287]",1,"[1623.0, 287]","[1623.0, 226]","[1520, 256.5]","[1726, 256.5]","[-1, 0]","[-1, 0]","[-1, 0]","[0, 0]"
2,"[1820, 226]","[1934, 277]",2,"[1877.0, 277]","[1877.0, 226]","[1820, 251.5]","[1934, 251.5]","[-1, 0]","[3, 3]","[-1, 0]","[-1, 0]"
3,"[1943, 215]","[2086, 277]",3,"[2014.5, 277]","[2014.5, 215]","[1943, 246.0]","[2086, 246.0]","[-1, 0]","[4, 4]","[-1, 0]","[2, 2]"
4,"[2098, 208]","[2238, 273]",4,"[2168.0, 273]","[2168.0, 208]","[2098, 240.5]","[2238, 240.5]","[-1, 0]","[-1, 0]","[-1, 0]","[3, 3]"
5,"[234, 400]","[621, 475]",5,"[427.5, 475]","[427.5, 400]","[234, 437.5]","[621, 437.5]","[-1, 0]","[6, 6]","[-1, 0]","[-1, 0]"
6,"[674, 390]","[1010, 485]",6,"[842.0, 485]","[842.0, 390]","[674, 437.5]","[1010, 437.5]","[8, 8]","[-1, 0]","[-1, 0]","[5, 5]"
7,"[230, 496]","[437, 581]",7,"[333.5, 581]","[333.5, 496]","[230, 538.5]","[437, 538.5]","[-1, 0]","[8, 8]","[-1, 0]","[-1, 0]"
8,"[491, 496]","[1150, 581]",8,"[820.5, 581]","[820.5, 496]","[491, 538.5]","[1150, 538.5]","[-1, 0]","[-1, 0]","[6, 6]","[7, 7]"
9,"[232, 598]","[720, 684]",9,"[476.0, 684]","[476.0, 598]","[232, 641.0]","[720, 641.0]","[-1, 0]","[10, 10]","[-1, 0]","[-1, 0]"
10,"[776, 602]","[1189, 673]",10,"[982.5, 673]","[982.5, 602]","[776, 637.5]","[1189, 637.5]","[-1, 0]","[-1, 0]","[-1, 0]","[9, 9]"
11,"[239, 738]","[529, 810]",11,"[384.0, 810]","[384.0, 738]","[239, 774.0]","[529, 774.0]","[14, 14]","[12, 12]","[-1, 0]","[-1, 0]"
