Unnamed: 0,Top-Left,Bottom-Right,Id,Bottom,Top,Left,Right,Bottom_Box,Right_Box,Top_Box,Left_Box
0,"[365, 291]","[783, 362]",0,"[574.0, 362]","[574.0, 291]","[365, 326.5]","[783, 326.5]","[-1, 0]","[1, 1]","[-1, 0]","[-1, 0]"
1,"[802, 284]","[858, 342]",1,"[830.0, 342]","[830.0, 284]","[802, 313.0]","[858, 313.0]","[-1, 0]","[2, 2]","[-1, 0]","[0, 0]"
2,"[873, 291]","[931, 345]",2,"[902.0, 345]","[902.0, 291]","[873, 318.0]","[931, 318.0]","[-1, 0]","[-1, 0]","[-1, 0]","[1, 1]"
3,"[1972, 280]","[2062, 335]",3,"[2017.0, 335]","[2017.0, 280]","[1972, 307.5]","[2062, 307.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
4,"[363, 455]","[464, 520]",4,"[413.5, 520]","[413.5, 455]","[363, 487.5]","[464, 487.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
5,"[570, 458]","[1005, 530]",5,"[787.5, 530]","[787.5, 458]","[570, 494.0]","[1005, 494.0]","[10, 10]","[6, 6]","[-1, 0]","[-1, 0]"
6,"[1027, 455]","[1131, 533]",6,"[1079.0, 533]","[1079.0, 455]","[1027, 494.0]","[1131, 494.0]","[11, 11]","[7, 7]","[-1, 0]","[5, 5]"
7,"[1148, 451]","[1252, 533]",7,"[1200.0, 533]","[1200.0, 451]","[1148, 492.0]","[1252, 492.0]","[-1, 0]","[8, 8]","[-1, 0]","[6, 6]"
8,"[1269, 461]","[1511, 530]",8,"[1390.0, 530]","[1390.0, 461]","[1269, 495.5]","[1511, 495.5]","[12, 12]","[-1, 0]","[-1, 0]","[7, 7]"
9,"[568, 571]","[677, 625]",9,"[622.5, 625]","[622.5, 571]","[568, 598.0]","[677, 598.0]","[-1, 0]","[10, 10]","[-1, 0]","[-1, 0]"
10,"[701, 561]","[916, 622]",10,"[808.5, 622]","[808.5, 561]","[701, 591.5]","[916, 591.5]","[-1, 0]","[11, 11]","[5, 5]","[9, 9]"
11,"[940, 564]","[1194, 639]",11,"[1067.0, 639]","[1067.0, 564]","[940, 601.5]","[1194, 601.5]","[-1, 0]","[12, 12]","[6, 6]","[10, 10]"
12,"[1218, 564]","[1474, 639]",12,"[1346.0, 639]","[1346.0, 564]","[1218, 601.5]","[1474, 601.5]","[-1, 0]","[-1, 0]","[8, 8]","[11, 11]"
13,"[1955, 561]","[2028, 615]",13,"[1991.5, 615]","[1991.5, 561]","[1955, 588.0]","[2028, 588.0]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
14,"[568, 725]","[699, 790]",14,"[633.5, 790]","[633.5, 725]","[568, 757.5]","[699, 757.5]","[-1, 0]","[15, 15]","[-1, 0]","[-1, 0]"
15,"[744, 728]","[969, 790]",15,"[856.5, 790]","[856.5, 728]","[744, 759.0]","[969, 759.0]","[-1, 0]","[16, 16]","[-1, 0]","[14, 14]"
16,"[974, 725]","[1271, 796]",16,"[1122.5, 796]","[1122.5, 725]","[974, 760.5]","[1271, 760.5]","[-1, 0]","[17, 17]","[-1, 0]","[15, 15]"
17,"[1245, 728]","[1438, 793]",17,"[1341.5, 793]","[1341.5, 728]","[1245, 760.5]","[1438, 760.5]","[23, 23]","[18, 18]","[-1, 0]","[16, 16]"
18,"[1491, 725]","[1554, 769]",18,"[1522.5, 769]","[1522.5, 725]","[1491, 747.0]","[1554, 747.0]","[24, 24]","[19, 19]","[-1, 0]","[17, 17]"
19,"[1557, 721]","[1864, 783]",19,"[1710.5, 783]","[1710.5, 721]","[1557, 752.0]","[1864, 752.0]","[25, 25]","[20, 20]","[-1, 0]","[18, 18]"
20,"[1905, 708]","[2059, 796]",20,"[1982.0, 796]","[1982.0, 708]","[1905, 752.0]","[2059, 752.0]","[26, 26]","[-1, 0]","[-1, 0]","[19, 19]"
21,"[370, 827]","[682, 902]",21,"[526.0, 902]","[526.0, 827]","[370, 864.5]","[682, 864.5]","[27, 27]","[22, 22]","[-1, 0]","[-1, 0]"
22,"[720, 824]","[1250, 899]",22,"[985.0, 899]","[985.0, 824]","[720, 861.5]","[1250, 861.5]","[28, 28]","[23, 23]","[-1, 0]","[21, 21]"
23,"[1279, 827]","[1385, 909]",23,"[1332.0, 909]","[1332.0, 827]","[1279, 868.0]","[1385, 868.0]","[29, 29]","[24, 24]","[17, 17]","[22, 22]"
24,"[1419, 827]","[1624, 875]",24,"[1521.5, 875]","[1521.5, 827]","[1419, 851.0]","[1624, 851.0]","[-1, 0]","[25, 25]","[18, 18]","[23, 23]"
25,"[1658, 820]","[1830, 882]",25,"[1744.0, 882]","[1744.0, 820]","[1658, 851.0]","[1830, 851.0]","[30, 30]","[26, 26]","[19, 19]","[24, 24]"
26,"[1864, 820]","[2054, 896]",26,"[1959.0, 896]","[1959.0, 820]","[1864, 858.0]","[2054, 858.0]","[-1, 0]","[-1, 0]","[20, 20]","[25, 25]"
27,"[367, 930]","[691, 1005]",27,"[529.0, 1005]","[529.0, 930]","[367, 967.5]","[691, 967.5]","[-1, 0]","[28, 28]","[21, 21]","[-1, 0]"
28,"[713, 930]","[1136, 1001]",28,"[924.5, 1001]","[924.5, 930]","[713, 965.5]","[1136, 965.5]","[-1, 0]","[29, 29]","[22, 22]","[27, 27]"
29,"[1153, 930]","[1470, 1001]",29,"[1311.5, 1001]","[1311.5, 930]","[1153, 965.5]","[1470, 965.5]","[-1, 0]","[30, 30]","[23, 23]","[28, 28]"
30,"[1494, 926]","[2050, 998]",30,"[1772.0, 998]","[1772.0, 926]","[1494, 962.0]","[2050, 962.0]","[-1, 0]","[-1, 0]","[25, 25]","[29, 29]"
31,"[365, 1032]","[836, 1094]",31,"[600.5, 1094]","[600.5, 1032]","[365, 1063.0]","[836, 1063.0]","[-1, 0]","[32, 32]","[-1, 0]","[-1, 0]"
32,"[858, 1032]","[1146, 1104]",32,"[1002.0, 1104]","[1002.0, 1032]","[858, 1068.0]","[1146, 1068.0]","[-1, 0]","[33, 33]","[-1, 0]","[31, 31]"
33,"[1165, 1025]","[1810, 1107]",33,"[1487.5, 1107]","[1487.5, 1025]","[1165, 1066.0]","[1810, 1066.0]","[-1, 0]","[-1, 0]","[-1, 0]","[32, 32]"
34,"[568, 1189]","[631, 1234]",34,"[599.5, 1234]","[599.5, 1189]","[568, 1211.5]","[631, 1211.5]","[41, 41]","[35, 35]","[-1, 0]","[-1, 0]"
35,"[674, 1186]","[940, 1248]",35,"[807.0, 1248]","[807.0, 1186]","[674, 1217.0]","[940, 1217.0]","[42, 42]","[36, 36]","[-1, 0]","[34, 34]"
36,"[979, 1179]","[1332, 1254]",36,"[1155.5, 1254]","[1155.5, 1179]","[979, 1216.5]","[1332, 1216.5]","[44, 44]","[37, 37]","[-1, 0]","[35, 35]"
37,"[1370, 1183]","[1687, 1254]",37,"[1528.5, 1254]","[1528.5, 1183]","[1370, 1218.5]","[1687, 1218.5]","[-1, 0]","[38, 38]","[-1, 0]","[36, 36]"
38,"[1726, 1183]","[1907, 1258]",38,"[1816.5, 1258]","[1816.5, 1183]","[1726, 1220.5]","[1907, 1220.5]","[-1, 0]","[39, 39]","[-1, 0]","[37, 37]"
39,"[1943, 1176]","[2054, 1258]",39,"[1998.5, 1258]","[1998.5, 1176]","[1943, 1217.0]","[2054, 1217.0]","[-1, 0]","[-1, 0]","[-1, 0]","[38, 38]"
40,"[367, 1285]","[563, 1333]",40,"[465.0, 1333]","[465.0, 1285]","[367, 1309.0]","[563, 1309.0]","[49, 49]","[41, 41]","[-1, 0]","[-1, 0]"
41,"[580, 1282]","[735, 1333]",41,"[657.5, 1333]","[657.5, 1282]","[580, 1307.5]","[735, 1307.5]","[50, 50]","[42, 42]","[34, 34]","[40, 40]"
42,"[752, 1295]","[800, 1336]",42,"[776.0, 1336]","[776.0, 1295]","[752, 1315.5]","[800, 1315.5]","[-1, 0]","[43, 43]","[35, 35]","[41, 41]"
